Processes: 403 total, 2 running, 401 sleeping, 1668 threads 
2020/08/30 12:31:22
Load Avg: 1.51, 1.70, 1.70 
CPU usage: 7.53% user, 10.95% sys, 81.50% idle 
SharedLibs: 391M resident, 53M data, 48M linkedit.
MemRegions: 71844 total, 3169M resident, 139M private, 1212M shared.
PhysMem: 10G used (2497M wired), 5639M unused.
VM: 2216G vsize, 1991M framework vsize, 3152691(0) swapins, 3366775(0) swapouts.
Networks: packets: 9272571/9600M in, 5120610/866M out.
Disks: 3087464/43G read, 4711613/64G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM   PURG  CMPRS PGRP  PPID  STATE    BOOSTS      %CPU_ME %CPU_OTHRS UID FAULTS   COW      MSGSENT   MSGRECV   SYSBSD   SYSMACH   CSW       PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
50843  node             0.0  00:03.07 19    2   129    33M   0B    14M   50843 1     sleeping *0[1]       0.00000 0.00000    501 41607    722      922       1387      149011   5208      26325     1510    469      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50837  com.adobe.acc.in 0.0  00:00.09 2     1   49     3304K 0B    1812K 50837 1     sleeping *0[1]       0.00000 0.00000    0   2770     228      219       125       3057     600       716       42      15       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
50835  ACCFinderSync    0.0  00:00.33 4     1   185    13M   0B    3656K 50835 1     sleeping *0[206]     0.00000 0.00000    501 18792    289      2836      624       7328     7535      3952      47      87       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50828  AdobeCRDaemon    0.0  00:05.15 4     3   55     2484K 0B    524K  50828 50826 sleeping *0[100]     0.00000 0.00000    501 9860     126      46234     7896      75108    122777    85919     20      7655     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50827  Adobe_CCXProcess 0.0  00:12.82 18    2   113    64M   0B    19M   50827 1     sleeping *0[1]       0.00000 0.00000    501 360945   568      887       1366      369044   8889      92152     1060    782      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50826  Core Sync        0.0  00:19.82 33    5   303    20M   64K   5448K 50826 1     sleeping *0[416]     0.00000 0.00000    501 25622    545      25142     2951      658329   100263    216973    1963    38635    0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50822  AdobeCRDaemon    0.0  00:05.16 5     4   58     2500K 0B    132K  50822 50815 sleeping *0[53]      0.00000 0.00000    501 9826     120      46295     7894      74282    122803    86199     23      7717     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50818  Creative Cloud H 0.0  00:02.26 10    1   185    11M   0B    672K  50818 50815 sleeping *0[205]     0.00000 0.00000    501 9786     460      3331      1920      140143   11171     22628     118     446      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50815  Adobe Desktop Se 0.0  00:34.34 30    2   309    238M  0B    156M  50815 1     sleeping *0[243]     0.00000 0.00000    501 284486   1129     5840      1708      2133973  20991     109857    916     5985     0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50425  AdobeIPCBroker   0.0  00:05.53 14    1   147    5540K 0B    1460K 50425 1     sleeping *0[207]     0.00000 0.00000    501 8429     285      2595      596       347717   13284     128929    104     554      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50378  Adobe Installer  0.0  00:00.03 3     1   38     1624K 0B    332K  50378 1     sleeping *0[1]       0.00000 0.00000    0   1725     147      132       80        1237     407       467       0       26       0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
50321  authtrampoline   0.0  00:00.01 2     1   31     756K  0B    244K  50321 1     sleeping *0[9]       0.00000 0.00000    0   946      125      212       47        623      364       157       6       1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
50226  XprotectService  0.0  00:00.20 2     1   58     8284K 0B    6652K 50226 1     sleeping *0[7]       0.00000 0.00000    501 8657     225      566       227       7397     927       708       748     16       0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
50185  CoreServicesUIAg 0.0  00:00.62 3     1   227    10M   0B    4896K 50185 1     sleeping *0[1]       0.00000 0.00000    501 13259    341      6166      1471      14556    15148     8394      64      145      0.0   0      0      apple              N/A    N/A   N/A   N/A   N/A   N/A  
